task_id,strategy,repetition_index,batch_id,model,latency_sec,total_tokens,estimated_cost,status,error_type,error_message,final_output_path,workspace_path,selected_route,route_confidence,manual_score_overall,manual_pass_fail,manual_route_was_good_choice,notes
task_002_multi_file_status,multi,3.0,task2_run,gpt-5-mini,83.299,65217,0.023007,completed,,,outputs/task_002_multi_file_status__multi__rep3.txt,workspaces/task_002_multi_file_status/multi_rep_3,,,8.5,True,,Accurate multi-agent execution with no substantive mistakes; efficiency is solid but still behind the better single-agent runs.
task_002_multi_file_status,multi,4.0,task2_run,gpt-5-mini,68.725,42941,0.016482,completed,,,outputs/task_002_multi_file_status__multi__rep4.txt,workspaces/task_002_multi_file_status/multi_rep_4,,,8.6,True,,"Clean and correct multi-agent run with good review output, though still costlier than necessary for this task size."
task_002_multi_file_status,router,,multi_x4,gpt-5-mini,5.765,565,0.000684,completed,,,,,multi,0.92,,,,
task_002_multi_file_status,single,1.0,task2_run,gpt-5-mini,35.632,16309,0.006944,completed,,,outputs/task_002_multi_file_status__single__rep1.txt,workspaces/task_002_multi_file_status/single_rep_1,,,9.0,True,,Clean end-to-end fix with only the necessary functional files changed and tests passing.
task_002_multi_file_status,single,2.0,task2_run,gpt-5-mini,26.178,12411,0.005219,completed,,,outputs/task_002_multi_file_status__single__rep2.txt,workspaces/task_002_multi_file_status/single_rep_2,,,8.7,True,,Correct and complete implementation; slightly more verbose than rep1 but still focused and efficient.
task_002_multi_file_status,single,3.0,task2_run,gpt-5-mini,32.409,15551,0.006651,completed,,,outputs/task_002_multi_file_status__single__rep3.txt,workspaces/task_002_multi_file_status/single_rep_3,,,8.8,True,,Strong implementation with good behavioral summary; a bit more overhead than the best single-agent run.
task_002_multi_file_status,single,4.0,task2_run,gpt-5-mini,25.568,12219,0.005092,completed,,,outputs/task_002_multi_file_status__single__rep4.txt,workspaces/task_002_multi_file_status/single_rep_4,,,8.6,True,,Correct and compact implementation; slightly less explicit about validation behavior than the top runs.
task_003_data_analysis,multi,1.0,task3_run,gpt-5-mini,43.233,13830,0.007895,completed,,,outputs/task_003_data_analysis__multi__rep1.txt,workspaces/task_003_data_analysis/multi_rep_1,,,8.8,True,,"Correct and complete multi-agent result with a verified artifact, but materially less efficient than the top single-agent runs."
task_003_data_analysis,multi,2.0,task3_run,gpt-5-mini,64.329,17792,0.010598,completed,,,outputs/task_003_data_analysis__multi__rep2.txt,workspaces/task_003_data_analysis/multi_rep_2,,,8.6,True,,"Accurate result and good verification, though relatively expensive for a compact calculation task."
task_003_data_analysis,multi,3.0,task3_run,gpt-5-mini,57.202,17016,0.009593,completed,,,outputs/task_003_data_analysis__multi__rep3.txt,workspaces/task_003_data_analysis/multi_rep_3,,,8.7,True,,Good multi-agent execution with correct outputs and saved artifacts; still carries overhead compared with simpler single-agent runs.
task_003_data_analysis,multi,4.0,task3_run,gpt-5-mini,41.716,12496,0.007376,completed,,,outputs/task_003_data_analysis__multi__rep4.txt,workspaces/task_003_data_analysis/multi_rep_4,,,9.0,True,,"Best multi-agent run here: correct, concise, and relatively efficient while still producing the required artifact and summary."
task_003_data_analysis,router,,multi_x4,gpt-5-mini,5.581,579,0.000663,completed,,,,,single,0.9,,,,
task_003_data_analysis,single,1.0,task3_run,gpt-5-mini,29.874,8452,0.004622,completed,,,outputs/task_003_data_analysis__single__rep1.txt,workspaces/task_003_data_analysis/single_rep_1,,,8.9,True,,"Strong answer with correct ranking, clear summary, and a saved artifact; slightly wordier and costlier than the leanest good runs."
task_003_data_analysis,single,2.0,task3_run,gpt-5-mini,15.316,3225,0.002302,completed,,,outputs/task_003_data_analysis__single__rep2.txt,workspaces/task_003_data_analysis/single_rep_2,,,9.5,True,,"Best overall run: correct calculations, concise stakeholder summary, useful next steps, and very efficient token usage."
task_003_data_analysis,single,3.0,task3_run,gpt-5-mini,14.023,3063,0.00209,completed,,,outputs/task_003_data_analysis__single__rep3.txt,workspaces/task_003_data_analysis/single_rep_3,,,9.3,True,,"Very strong run with correct numbers, clear weaker-trend mention, and efficient execution."
task_003_data_analysis,single,4.0,task3_run,gpt-5-mini,18.771,3711,0.002714,completed,,,outputs/task_003_data_analysis__single__rep4.txt,workspaces/task_003_data_analysis/single_rep_4,,,9.1,True,,"Correct and stakeholder-friendly, with good next steps; a little more verbose than the best single-agent runs."
task_004_document_qa,multi,1.0,task4_run,gpt-5-mini,41.124,12632,0.006292,completed,,,outputs/task_004_document_qa__multi__rep1.txt,workspaces/task_004_document_qa/multi_rep_1,,,9.0,True,,"Excellent factual accuracy and sourcing, but multi-agent overhead is higher than needed for this straightforward QA task."
task_004_document_qa,multi,2.0,task4_run,gpt-5-mini,38.865,10342,0.006178,completed,,,outputs/task_004_document_qa__multi__rep2.txt,workspaces/task_004_document_qa/multi_rep_2,,,9.1,True,,Correct and concise with useful citation grounding; better efficiency than the other multi runs.
task_004_document_qa,multi,3.0,task4_run,gpt-5-mini,41.85,13588,0.00672,completed,,,outputs/task_004_document_qa__multi__rep3.txt,workspaces/task_004_document_qa/multi_rep_3,,,8.8,True,,"All answers are right, but the sourcing is a bit thinner on the last answer and efficiency is weaker than the best runs."
task_004_document_qa,multi,4.0,task4_run,gpt-5-mini,34.206,7341,0.005409,completed,,,outputs/task_004_document_qa__multi__rep4.txt,workspaces/task_004_document_qa/multi_rep_4,,,9.3,True,,"Best multi-agent run: fully correct, compact, and unusually efficient for the multi pipeline."
task_004_document_qa,router,,multi_x4,gpt-5-mini,3.894,539,0.000558,completed,,,,,multi,0.9,,,,
task_004_document_qa,single,1.0,task4_run,gpt-5-mini,18.33,5349,0.002727,completed,,,outputs/task_004_document_qa__single__rep1.txt,workspaces/task_004_document_qa/single_rep_1,,,9.2,True,,Accurate on all four questions with solid source notes and concise phrasing.
task_004_document_qa,single,2.0,task4_run,gpt-5-mini,12.318,4182,0.002062,completed,,,outputs/task_004_document_qa__single__rep2.txt,workspaces/task_004_document_qa/single_rep_2,,,9.4,True,,"Best single-agent run: correct, concise, well-sourced, and the most efficient of the set."
task_004_document_qa,single,3.0,task4_run,gpt-5-mini,15.303,5273,0.002548,completed,,,outputs/task_004_document_qa__single__rep3.txt,workspaces/task_004_document_qa/single_rep_3,,,9.1,True,,"Very strong and slightly more explanatory than necessary, but still fully correct and grounded."
task_004_document_qa,single,4.0,task4_run,gpt-5-mini,17.289,5182,0.002583,completed,,,outputs/task_004_document_qa__single__rep4.txt,workspaces/task_004_document_qa/single_rep_4,,,9.2,True,,Correct and stakeholder-friendly answer with good sourcing and compact delivery.
task_005_web_research,multi,1.0,task5_run,gpt-5-mini,140.866,236641,0.073843,completed,,,outputs/task_005_web_research__multi__rep1.txt,workspaces/task_005_web_research/multi_rep_1,,,2.4,False,,"Did not answer the three research questions. It produced a plan/instructions for a next agent instead of a final research result, so it fails the task despite some process thinking."
task_005_web_research,multi,2.0,task5_run,gpt-5-mini,178.874,66645,0.037931,completed,,,outputs/task_005_web_research__multi__rep2.txt,workspaces/task_005_web_research/multi_rep_2,,,4.9,False,,"Useful critique of a previous answer, but it still does not directly answer the three task questions in the final response, so it falls short of the prompt."
task_005_web_research,multi,3.0,task5_run,gpt-5-mini,159.046,64139,0.034217,completed,,,outputs/task_005_web_research__multi__rep3.txt,workspaces/task_005_web_research/multi_rep_3,,,5.2,False,,"Better review quality than rep2, but still a meta-evaluation rather than the direct final research answer the task asked for."
task_005_web_research,multi,4.0,task5_run,gpt-5-mini,186.137,71877,0.03828,completed,,,outputs/task_005_web_research__multi__rep4.txt,workspaces/task_005_web_research/multi_rep_4,,,5.4,False,,"The strongest of the review-style multi runs, but it still reports on another answer instead of directly answering the three required questions itself."
task_005_web_research,router,,multi_x4,gpt-5-mini,4.207,493,0.000468,completed,,,,,multi,0.9,,,,
task_005_web_research,single,1.0,task5_run,gpt-5-mini,129.595,83354,0.033904,completed,,,outputs/task_005_web_research__single__rep1.txt,workspaces/task_005_web_research/single_rep_1,,,8.8,True,,"Directly answers all three questions and includes uncertainty, but it is long, somewhat diffuse, and leans on weaker secondary sources in places."
task_005_web_research,single,2.0,task5_run,gpt-5-mini,112.158,65348,0.029392,completed,,,outputs/task_005_web_research__single__rep2.txt,workspaces/task_005_web_research/single_rep_2,,,9.1,True,,"Best single-agent run here: direct, reasonably concise, multi-sourced, and explicit about uncertainty while still producing a useful artifact."
task_005_web_research,single,3.0,task5_run,gpt-5-mini,115.319,71189,0.030819,completed,,,outputs/task_005_web_research__single__rep3.txt,workspaces/task_005_web_research/single_rep_3,,,8.9,True,,"Strong concise answer with clear caveats and dated sources; source mix is solid, though somewhat narrower than the best run."
task_005_web_research,single,4.0,task5_run,gpt-5-mini,141.983,82412,0.035364,completed,,,outputs/task_005_web_research__single__rep4.txt,workspaces/task_005_web_research/single_rep_4,,,9.0,True,,Direct and well-structured answer with good primary sourcing and explicit uncertainty; slightly less balanced than the strongest single run.
task_006_fake_email,multi,1.0,task6_run,gpt-5-mini,80.006,27366,0.012627,completed,,,outputs/task_006_fake_email__multi__rep1.txt,workspaces/task_006_fake_email/multi_rep_1,,,8.9,True,,"Correct workflow and good drafts, but multi-agent overhead is high for such a small email triage task."
task_006_fake_email,multi,2.0,task6_run,gpt-5-mini,76.944,35175,0.015773,completed,,,outputs/task_006_fake_email__multi__rep2.txt,workspaces/task_006_fake_email/multi_rep_2,,,8.8,True,,"Accurate and compliant, though the token cost is especially high relative to the task scope."
task_006_fake_email,multi,3.0,task6_run,gpt-5-mini,62.648,27110,0.012995,completed,,,outputs/task_006_fake_email__multi__rep3.txt,workspaces/task_006_fake_email/multi_rep_3,,,9.0,True,,Strong multi-agent result with correct triage and concise review summary; still less efficient than single-agent runs.
task_006_fake_email,multi,4.0,task6_run,gpt-5-mini,64.948,30114,0.01403,completed,,,outputs/task_006_fake_email__multi__rep4.txt,workspaces/task_006_fake_email/multi_rep_4,,,9.1,True,,"Best multi-agent run here: correct replies, good tone, and a concise review summary, though still costlier than single-agent execution."
task_006_fake_email,router,,multi_x4,gpt-5-mini,5.227,559,0.00064,completed,,,,,multi,0.92,,,,
task_006_fake_email,single,1.0,task6_run,gpt-5-mini,21.465,6059,0.003356,completed,,,outputs/task_006_fake_email__single__rep1.txt,workspaces/task_006_fake_email/single_rep_1,,,9.2,True,,Strong run with correct triage and good drafts; slightly more verbose than the best replies but fully compliant.
task_006_fake_email,single,2.0,task6_run,gpt-5-mini,20.269,7438,0.003727,completed,,,outputs/task_006_fake_email__single__rep2.txt,workspaces/task_006_fake_email/single_rep_2,,,9.5,True,,"Best single-agent run: correct triage, concise replies, strong fidelity to policy/FAQ, and nicely structured artifacts."
task_006_fake_email,single,3.0,task6_run,gpt-5-mini,18.098,6737,0.003138,completed,,,outputs/task_006_fake_email__single__rep3.txt,workspaces/task_006_fake_email/single_rep_3,,,9.3,True,,Very good run with correct replies and clear action reasoning; a touch more overhead than the top single run.
task_006_fake_email,single,4.0,task6_run,gpt-5-mini,20.288,6967,0.003129,completed,,,outputs/task_006_fake_email__single__rep4.txt,workspaces/task_006_fake_email/single_rep_4,,,9.3,True,,"Clean, correct, and policy-faithful run with concise drafts and proper artifact storage."
